StrategyName,ParamSetName,Timeframe,NumCandles,LotSize,Risk_Percent,SL_PIPS,TP_PIPS,EMA_Fast,EMA_Slow,BB_Period,BB_Deviations,RSI_Period,RSI_Oversold_Level,RSI_Overbought_Level,MACD_Fast_Period,MACD_Slow_Period,MACD_Signal_Period,EMA_Filter_Period,PSAR_Step,PSAR_Maximum,ADX_Period,ADX_Trend_Level,Notes
EMA_Crossover,H1_Standard,H1,100,0.01,0.5,30,60,20,50,,,,,,,,,,,,,,Cruce EMA 20/50 en H1. R/R 1:2.
EMA_Crossover,M15_Scalp,M15,60,0.02,1.0,10,15,10,20,,,,,,,,,,,,,,Cruce EMA 10/20 en M15 para scalping.
SC_BB_RSI,M5_Safe,M5,100,0.01,0.25,10,10,,20,2.0,14,30,70,,,,,,,,R/R 1:1. Objetivo: alta tasa de acierto con ganancias muy pequeñas.
SC_BB_RSI,M5_Intermedio,M5,100,0.01,0.50,15,25,,20,2.0,14,30,70,,,,,,,,R/R ~1:1.7. Balance entre riesgo y recompensa.
SC_BB_RSI,M5_Aggressive,M5,100,0.02,0.75,20,40,,20,2.0,14,30,70,,,,,,,,R/R 1:2. Busca mayores ganancias, SL más amplio.
DT_MACD_EMA,H1_Standard,H1,250,0.01,0.5,50,100,,,,,,,,12,26,9,200,,,,Filtro con EMA 200 en H1.
DT_MACD_EMA,M30_Balanced,M30,250,0.01,0.75,30,75,,,,,,,,12,26,9,100,,,,Filtro EMA 100 en M30, R/R 1:2.5.
DT_MACD_EMA,H1_Aggressive,H1,300,0.02,1.0,70,210,,,,,,,,12,26,9,200,,,,R/R 1:3. SL y TP amplios.
ST_PSAR_ADX,H4_Safe,H4,150,0.01,1.50,80,160,,,,,,,,,,,,0.02,0.2,14,25,R/R 1:2. SL/TP amplios para H4.
ST_PSAR_ADX,H4_Intermedio,H4,150,0.01,2.00,100,250,,,,,,,,,,,,0.02,0.2,14,25,R/R 1:2.5. Movimientos amplios, TP grande.
ST_PSAR_ADX,H1_Aggressive,H1,150,0.02,2.50,50,150,,,,,,,,,,,,0.02,0.2,14,23,R/R 1:3 en H1. ADX > 23 para señal.